rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir
1530,B,A,Boogie-Woogie-Juniors,Final,1,150,1,0,0,0,0,0,0,0,142
1530,B,A,Boogie-Woogie-Juniors,Final,2,386,1,0,0,0,0,0,0,0,142
1530,B,A,Boogie-Woogie-Juniors,Final,3,250,1,0,0,0,0,0,0,0,142
1530,B,A,Boogie-Woogie-Juniors,Final,4,193,1,0,0,0,0,0,0,0,142
1530,D,A,Boogie-Woogie-Juniors,Final,1,150,2,0,0,0,0,0,0,0,142
1530,D,A,Boogie-Woogie-Juniors,Final,2,386,2,0,0,0,0,0,0,0,142
1530,D,A,Boogie-Woogie-Juniors,Final,3,250,2,0,0,0,0,0,0,0,142
1530,D,A,Boogie-Woogie-Juniors,Final,4,193,2,0,0,0,0,0,0,0,142
1534,B,A,Boogie-Woogie-Seniors,Final - slow,1,42,1,0,0,0,0,0,0,0,142
1534,F,A,Boogie-Woogie-Seniors,Final - slow,1,42,4,0,0,0,0,0,0,0,142
1537,A,A,Rock'n'Roll-Main Class Contact Style,First round,1,172,1,-50,-50,-35,-25,-50,-1,0,142
1537,A,A,Rock'n'Roll-Main Class Contact Style,First round,1,71,1,-25,-15,-25,-25,-35,-1,0,142
1537,A,A,Rock'n'Roll-Main Class Contact Style,First round,2,362,1,-5,-10,-10,-10,-10,-1,0,142
1537,A,A,Rock'n'Roll-Main Class Contact Style,First round,2,181,1,-25,-25,-35,-15,-50,-1,0,142
1537,A,A,Rock'n'Roll-Main Class Contact Style,First round,3,283,1,-15,-25,-25,-15,-35,-1,0,142
1537,A,A,Rock'n'Roll-Main Class Contact Style,First round,3,363,1,-10,-25,-10,-25,-25,-1,0,142
1537,A,A,Rock'n'Roll-Main Class Contact Style,First round,4,179,1,-25,-15,-35,-15,-75,-1,0,142
1537,G,A,Rock'n'Roll-Main Class Contact Style,First round,1,71,3,-10,-10,-15,-10,-15,-1,0,142
1537,G,A,Rock'n'Roll-Main Class Contact Style,First round,1,172,3,-35,-25,-15,-10,-15,-1,0,142
1537,G,A,Rock'n'Roll-Main Class Contact Style,First round,2,181,3,-5,-10,-25,-10,-15,-1,0,142
1537,G,A,Rock'n'Roll-Main Class Contact Style,First round,2,362,3,-5,-5,-5,-5,0,-1,0,142
1537,G,A,Rock'n'Roll-Main Class Contact Style,First round,3,363,3,0,-5,0,-10,-10,-1,0,142
1537,G,A,Rock'n'Roll-Main Class Contact Style,First round,3,283,3,-5,-10,-10,-10,-10,-1,0,142
1537,G,A,Rock'n'Roll-Main Class Contact Style,First round,4,179,3,-5,-5,-15,-10,-25,-1,0,142
1537,H,A,Rock'n'Roll-Main Class Contact Style,First round,1,172,4,-35,-15,-35,-15,-50,-1,0,142
1537,H,A,Rock'n'Roll-Main Class Contact Style,First round,1,71,4,-15,-15,-25,-50,-25,-1,0,142
1537,H,A,Rock'n'Roll-Main Class Contact Style,First round,2,362,4,0,-5,-10,0,-5,-1,0,142
1537,H,A,Rock'n'Roll-Main Class Contact Style,First round,2,181,4,-15,-25,-35,-10,-25,-1,0,142
1537,H,A,Rock'n'Roll-Main Class Contact Style,First round,3,283,4,-10,-15,-15,-25,-25,-1,0,142
1537,H,A,Rock'n'Roll-Main Class Contact Style,First round,3,363,4,-5,-10,-5,-10,-5,-1,0,142
1537,H,A,Rock'n'Roll-Main Class Contact Style,First round,4,179,4,-15,-10,-15,-25,-50,-1,0,142
1538,A,A,Rock'n'Roll-Main Class Start,Final,1,28,1,-35,-25,-35,-35,-25,-15,0,142
1538,A,A,Rock'n'Roll-Main Class Start,Final,2,176,1,-35,-100,-25,-50,-75,-35,0,142
1538,A,A,Rock'n'Roll-Main Class Start,Final,3,142,1,-15,-25,-35,-50,-50,-35,0,142
1538,C,A,Rock'n'Roll-Main Class Start,Final,1,28,2,-10,-15,-25,-25,-15,-15,0,142
1538,C,A,Rock'n'Roll-Main Class Start,Final,2,176,2,-15,-50,-25,-75,-35,-25,0,142
1538,C,A,Rock'n'Roll-Main Class Start,Final,3,142,2,-15,-15,-35,-35,-35,-15,0,142
1538,G,A,Rock'n'Roll-Main Class Start,Final,1,28,3,-15,-10,-15,-35,-15,-10,0,142
1538,G,A,Rock'n'Roll-Main Class Start,Final,2,176,3,-15,-50,-15,-35,-25,-15,0,142
1538,G,A,Rock'n'Roll-Main Class Start,Final,3,142,3,-10,-5,-10,-50,-35,-10,0,142
1539,B,A,Boogie-Woogie-Seniors,Final - fast,1,42,1,0,0,0,0,0,0,0,142
1539,F,A,Boogie-Woogie-Seniors,Final - fast,1,42,4,0,0,0,0,0,0,0,142
1540,B,A,Boogie-Woogie-Main Class,Final - slow,1,24,1,0,0,0,0,0,0,0,142
1540,E,A,Boogie-Woogie-Main Class,Final - slow,1,24,3,0,0,0,0,0,0,0,142
1544,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,181,1,-1,-1,-1,-1,-1,-1,0,142
1544,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,179,1,-1,-1,-1,-1,-1,-1,0,142
1544,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,283,1,-1,-1,-1,-1,-1,-1,0,142
1544,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,172,1,-1,-1,-1,-1,-1,-1,0,142
1544,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,363,1,-1,-1,-1,-1,-1,-1,0,142
1544,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,362,1,-1,-1,-1,-1,-1,-1,0,142
1544,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,7,71,1,-1,-1,-1,-1,-1,-1,0,142
1544,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,181,3,-1,-1,-1,-1,-1,-1,0,142
1544,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,179,3,-1,-1,-1,-1,-1,-1,0,142
1544,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,283,3,-1,-1,-1,-1,-1,-1,0,142
1544,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,172,3,-1,-1,-1,-1,-1,-1,0,142
1544,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,363,3,-1,-1,-1,-1,-1,-1,0,142
1544,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,362,3,-1,-1,-1,-1,-1,-1,0,142
1544,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,7,71,3,-1,-1,-1,-1,-1,-1,0,142
1544,H,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,181,4,-1,-1,-1,-1,-1,-1,0,142
1544,H,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,179,4,-1,-1,-1,-1,-1,-1,0,142
1544,H,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,283,4,-1,-1,-1,-1,-1,-1,0,142
1544,H,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,172,4,-1,-1,-1,-1,-1,-1,0,142
1544,H,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,363,4,-1,-1,-1,-1,-1,-1,0,142
1544,H,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,362,4,-1,-1,-1,-1,-1,-1,0,142
1544,H,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,7,71,4,-1,-1,-1,-1,-1,-1,0,142
1545,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,90,2,0,0,0,0,0,0,0,142
1545,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,2,263,2,0,0,0,0,0,0,0,142
1545,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,3,63,2,0,0,0,0,0,0,0,142
1545,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,4,47,2,0,0,0,0,0,0,0,142
1545,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,5,86,2,0,0,0,0,0,0,0,142
1545,G,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,90,3,0,0,0,0,0,0,0,142
1545,G,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,2,263,3,0,0,0,0,0,0,0,142
1545,G,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,3,63,3,0,0,0,0,0,0,0,142
1545,G,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,4,47,3,0,0,0,0,0,0,0,142
1545,G,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,5,86,3,0,0,0,0,0,0,0,142
1545,I,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,90,5,0,0,0,0,0,0,0,142
1545,I,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,2,263,5,0,0,0,0,0,0,0,142
1545,I,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,3,63,5,0,0,0,0,0,0,0,142
1545,I,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,4,47,5,0,0,0,0,0,0,0,142
1545,I,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,5,86,5,0,0,0,0,0,0,0,142
1548,B,A,Boogie-Woogie-Main Class,Final - fast,1,24,1,0,0,0,0,0,0,0,142
1548,E,A,Boogie-Woogie-Main Class,Final - fast,1,24,3,0,0,0,0,0,0,0,142
1549,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,283,1,-1,-1,-1,-1,-1,-1,0,142
1549,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,181,1,-1,-1,-1,-1,-1,-1,0,142
1549,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,71,1,-1,-1,-1,-1,-1,-1,0,142
1549,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,179,1,-1,-1,-1,-1,-1,-1,0,142
1549,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,362,1,-1,-1,-1,-1,-1,-1,0,142
1549,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,172,1,-1,-1,-1,-1,-1,-1,0,142
1549,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,7,363,1,-1,-1,-1,-1,-1,-1,0,142
1549,G,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,283,3,-1,-1,-1,-1,-1,-1,0,142
1549,G,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,181,3,-1,-1,-1,-1,-1,-1,0,142
1549,G,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,71,3,-1,-1,-1,-1,-1,-1,0,142
1549,G,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,179,3,-1,-1,-1,-1,-1,-1,0,142
1549,G,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,362,3,-1,-1,-1,-1,-1,-1,0,142
1549,G,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,172,3,-1,-1,-1,-1,-1,-1,0,142
1549,G,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,7,363,3,-1,-1,-1,-1,-1,-1,0,142
1549,H,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,283,4,-1,-1,-1,-1,-1,-1,0,142
1549,H,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,181,4,-1,-1,-1,-1,-1,-1,0,142
1549,H,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,71,4,-1,-1,-1,-1,-1,-1,0,142
1549,H,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,179,4,-1,-1,-1,-1,-1,-1,0,142
1549,H,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,362,4,-1,-1,-1,-1,-1,-1,0,142
1549,H,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,172,4,-1,-1,-1,-1,-1,-1,0,142
1549,H,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,7,363,4,-1,-1,-1,-1,-1,-1,0,142
1550,C,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,1,86,2,-25,-15,-15,-10,-10,-5,0,142
1550,C,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,2,63,2,-25,-15,-25,-15,-25,-15,0,142
1550,C,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,3,47,2,-10,-10,-10,-15,-15,-10,0,142
1550,C,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,4,90,2,-10,-15,-10,-15,-15,-10,0,142
1550,C,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,263,2,-10,-15,-15,-10,-25,-15,0,142
1550,G,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,1,86,3,-35,-15,-15,-5,-10,0,0,142
1550,G,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,2,63,3,-15,-25,-35,-25,-75,-10,0,142
1550,G,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,3,47,3,-10,-5,-10,-35,-10,-5,0,142
1550,G,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,4,90,3,-5,-25,-10,-10,-15,0,0,142
1550,G,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,263,3,-10,-25,-25,-10,-50,-10,0,142
1550,I,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,1,86,5,-25,-10,-15,-15,-15,-25,0,142
1550,I,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,2,63,5,-10,-10,-35,-25,-35,-15,0,142
1550,I,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,3,47,5,-15,-15,-25,-15,-15,-15,0,142
1550,I,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,4,90,5,-5,-10,-5,-15,-15,-5,0,142
1550,I,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,263,5,-15,-25,-15,-25,-35,-25,0,142
1552,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,179,1,0,0,0,0,0,0,0,142
1552,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,181,1,0,0,0,0,0,0,0,142
1552,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,362,1,0,0,0,0,0,0,0,142
1552,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,363,1,0,0,0,0,0,0,0,142
1552,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,283,1,0,0,0,0,0,0,0,142
1552,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,71,1,0,0,0,0,0,0,0,142
1552,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,179,3,0,0,0,0,0,0,0,142
1552,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,181,3,0,0,0,0,0,0,0,142
1552,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,362,3,0,0,0,0,0,0,0,142
1552,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,363,3,0,0,0,0,0,0,0,142
1552,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,283,3,0,0,0,0,0,0,0,142
1552,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,71,3,0,0,0,0,0,0,0,142
1552,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,179,4,0,0,0,0,0,0,0,142
1552,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,181,4,0,0,0,0,0,0,0,142
1552,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,362,4,0,0,0,0,0,0,0,142
1552,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,363,4,0,0,0,0,0,0,0,142
1552,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,283,4,0,0,0,0,0,0,0,142
1552,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,71,4,0,0,0,0,0,0,0,142
1553,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,1,-15,-10,-75,-35,-25,-35,0,142
1553,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,1,-15,-15,-5,-10,-15,-50,0,142
1553,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,1,-5,-5,-10,-5,-10,-15,0,142
1553,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,283,1,-25,-15,-25,-15,-50,-50,0,142
1553,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,1,-35,-15,-15,-15,-25,-25,0,142
1553,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,362,1,-5,0,-10,-10,-5,-25,0,142
1553,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,3,-10,-5,-50,-25,-10,-10,0,142
1553,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,3,-35,-10,-5,-10,-10,-25,0,142
1553,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,3,0,-5,0,-5,-10,-10,0,142
1553,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,283,3,-25,-5,-35,-10,-35,-35,0,142
1553,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,3,-25,-10,-5,-10,-35,-10,0,142
1553,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,362,3,-10,-5,-5,-5,0,-25,0,142
1553,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,4,-15,-15,-75,-35,-25,-15,0,142
1553,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,4,-10,-10,-5,-10,-10,-25,0,142
1553,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,4,-5,-5,-5,-5,-10,-10,0,142
1553,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,283,4,-25,-15,-15,-15,-50,-50,0,142
1553,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,4,-25,-15,-15,-15,-25,-25,0,142
1553,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,362,4,-5,0,-5,-5,-5,-25,0,142
1559,A,A,Rock'n'Roll-Main Class Contact Style,First round,1,172,1,-25,-25,-25,-35,-15,-1,0,143
1559,A,A,Rock'n'Roll-Main Class Contact Style,First round,2,300,1,-25,-50,-25,-15,-35,-1,0,143
1559,A,A,Rock'n'Roll-Main Class Contact Style,First round,3,362,1,-5,-5,-5,0,-10,-1,0,143
1559,A,A,Rock'n'Roll-Main Class Contact Style,First round,4,283,1,-5,-35,-15,-10,-15,-1,0,143
1559,A,A,Rock'n'Roll-Main Class Contact Style,First round,5,181,1,-35,-15,-25,-10,-25,-1,0,143
1559,A,A,Rock'n'Roll-Main Class Contact Style,First round,6,179,1,-10,-5,-10,-10,-25,-1,0,143
1559,A,A,Rock'n'Roll-Main Class Contact Style,First round,7,363,1,-5,-5,0,-10,-15,-1,0,143
1559,A,A,Rock'n'Roll-Main Class Contact Style,First round,8,71,1,-15,-100,-15,-25,-25,-1,0,143
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,1,172,4,-15,-25,-25,-25,-35,-1,0,143
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,2,300,4,-15,-25,-10,-10,-25,-1,0,143
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,3,362,4,-5,-10,-15,-5,0,-1,0,143
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,4,283,4,-15,-25,-15,-15,-25,-1,0,143
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,5,181,4,-25,-15,-25,-25,-25,-1,0,143
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,6,179,4,-15,0,-10,-15,-25,-1,0,143
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,7,363,4,-10,-10,-10,-10,-15,-1,0,143
1559,D,A,Rock'n'Roll-Main Class Contact Style,First round,8,71,4,-15,-100,-15,-35,-25,-1,0,143
1562,E,A,Boogie-Woogie-Juniors,Final,1,150,1,0,0,0,0,0,0,0,143
1562,E,A,Boogie-Woogie-Juniors,Final,2,193,1,0,0,0,0,0,0,0,143
1562,E,A,Boogie-Woogie-Juniors,Final,3,250,1,0,0,0,0,0,0,0,143
1562,E,A,Boogie-Woogie-Juniors,Final,4,386,1,0,0,0,0,0,0,0,143
1562,H,A,Boogie-Woogie-Juniors,Final,1,150,4,0,0,0,0,0,0,0,143
1562,H,A,Boogie-Woogie-Juniors,Final,2,193,4,0,0,0,0,0,0,0,143
1562,H,A,Boogie-Woogie-Juniors,Final,3,250,4,0,0,0,0,0,0,0,143
1562,H,A,Boogie-Woogie-Juniors,Final,4,386,4,0,0,0,0,0,0,0,143
1565,B,A,Rock'n'Roll-Main Class Start,Final,1,36,2,-25,-15,-25,-25,-35,-35,0,143
1565,B,A,Rock'n'Roll-Main Class Start,Final,2,142,2,-25,-15,-35,-50,-35,-50,0,143
1565,B,A,Rock'n'Roll-Main Class Start,Final,3,176,2,-25,-50,-25,-15,-25,-25,0,143
1565,B,A,Rock'n'Roll-Main Class Start,Final,4,371,2,-25,-15,-35,-35,-35,-25,0,143
1565,B,A,Rock'n'Roll-Main Class Start,Final,5,28,2,-15,-25,-25,-15,-15,-25,0,143
1565,D,A,Rock'n'Roll-Main Class Start,Final,1,36,4,-5,-10,-15,-15,-25,-25,0,143
1565,D,A,Rock'n'Roll-Main Class Start,Final,2,142,4,-10,0,-10,-25,-15,-75,0,143
1565,D,A,Rock'n'Roll-Main Class Start,Final,3,176,4,-5,-15,-10,-15,-15,-10,0,143
1565,D,A,Rock'n'Roll-Main Class Start,Final,4,371,4,-10,-10,-35,-25,-15,-50,0,143
1565,D,A,Rock'n'Roll-Main Class Start,Final,5,28,4,-5,-25,-15,-15,-15,-25,0,143
1567,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,283,1,0,0,0,0,0,0,0,143
1567,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,300,1,0,0,0,0,0,0,0,143
1567,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,179,1,0,0,0,0,0,0,0,143
1567,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,181,1,0,0,0,0,0,0,0,143
1567,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,362,1,0,0,0,0,0,0,0,143
1567,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,363,1,0,0,0,0,0,0,0,143
1567,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,283,4,0,0,0,0,0,0,0,143
1567,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,300,4,0,0,0,0,0,0,0,143
1567,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,179,4,0,0,0,0,0,0,0,143
1567,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,181,4,0,0,0,0,0,0,0,143
1567,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,362,4,0,0,0,0,0,0,0,143
1567,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,363,4,0,0,0,0,0,0,0,143
1568,E,A,Boogie-Woogie-Main Class,Final - slow,1,369,1,0,0,0,0,0,0,0,143
1568,E,A,Boogie-Woogie-Main Class,Final - slow,2,257,1,0,0,0,0,0,0,0,143
1568,H,A,Boogie-Woogie-Main Class,Final - slow,1,369,4,0,0,0,0,0,0,0,143
1568,H,A,Boogie-Woogie-Main Class,Final - slow,2,257,4,0,0,0,0,0,0,0,143
1569,B,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,86,2,0,0,0,0,0,0,0,143
1569,B,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,2,90,2,0,0,0,0,0,0,0,143
